,school id
0,5f2bcad6ba0be61b0c1e9953
1,5f2bcad7ba0be61b0c1e9a3c
2,5f2bca5cba0be61b0c1d715c
3,5f2bcad7ba0be61b0c1e9996
4,5f2bca34ba0be61b0c1cfc45
5,5f2bca77ba0be61b0c1dbcfe
6,5f2bcad7ba0be61b0c1e9aec
7,5f2bca79ba0be61b0c1dc457
8,5f2bcad7ba0be61b0c1e9a09
9,5f2bcad6ba0be61b0c1e9952
10,5f2bca77ba0be61b0c1dbcfe
11,5f2bca63ba0be61b0c1d84ce
12,5f2bcad7ba0be61b0c1e9b6e
13,5f2bcad7ba0be61b0c1e9c56
14,5f2bca6cba0be61b0c1da25c
15,5f2bcad6ba0be61b0c1e990d
16,5f2bca20ba0be61b0c1cb992
17,5f2bcad7ba0be61b0c1e9a3b
18,5f2bcad7ba0be61b0c1e9a3b
19,5f2bca2dba0be61b0c1ce072
20,5f2bcad8ba0be61b0c1ea059
21,5f2bca61ba0be61b0c1d801c
22,5f2bcad7ba0be61b0c1e9c76
23,5f2bca14ba0be61b0c1ca29d
24,5f2bcad7ba0be61b0c1e9a3b
25,5f2bcad7ba0be61b0c1e9a48
26,5f2bcad7ba0be61b0c1e9a49
27,5f2bcad8ba0be61b0c1e9fdf
28,5f2bca43ba0be61b0c1d2a08
29,5f2bcab7ba0be61b0c1e3798
30,5f2bca29ba0be61b0c1cd57d
31,5f2bcad8ba0be61b0c1e9eb1
32,5f2bca32ba0be61b0c1cf538
33,5f2bcad7ba0be61b0c1e9a3b
34,5f2bca77ba0be61b0c1dbcfe
35,5f2bcad6ba0be61b0c1e98c4
36,5f2bcad7ba0be61b0c1e9d0a
37,5f2bcad7ba0be61b0c1e9b47
38,5f2bcad7ba0be61b0c1e9a3c
39,5f2bca14ba0be61b0c1ca2fd
40,5f2bcad7ba0be61b0c1e9a99
41,5f2bcad7ba0be61b0c1e9a1b
42,5f2bcad7ba0be61b0c1e9aa5
43,5f2bca23ba0be61b0c1cc4a7
44,5f2bcad7ba0be61b0c1e9a82
45,5f2bcad7ba0be61b0c1e9aaa
46,5f2bca46ba0be61b0c1d37c9
47,5f2bcad7ba0be61b0c1e9aae
48,5f2bcad7ba0be61b0c1e9a75
49,5f2bca23ba0be61b0c1cc619
50,5f2bcad7ba0be61b0c1e9ab7
51,5f2bca2dba0be61b0c1ce04c
52,5f2bca23ba0be61b0c1cc619
53,5f2bcad7ba0be61b0c1e9a71
54,5f2bca14ba0be61b0c1ca400
55,5f2bca2eba0be61b0c1ce576
56,5f2bca20ba0be61b0c1cb8ed
57,5f2bca29ba0be61b0c1cd5cb
58,5f2bcad7ba0be61b0c1e9a6d
59,5f2bca2dba0be61b0c1ce11d
60,5f2bcad8ba0be61b0c1e9f3b
61,5f2bcad7ba0be61b0c1e9a4d
62,5f2bcad7ba0be61b0c1e9a3b
63,5f2bcad7ba0be61b0c1e9a3b
64,5f2bcad7ba0be61b0c1e9a95
65,5f2bcad7ba0be61b0c1e9a95
66,5f2bca5cba0be61b0c1d6ec8
67,5f2bcad7ba0be61b0c1e9a96
68,5f2bcad7ba0be61b0c1e9a96
69,5f2bcad7ba0be61b0c1e9a96
70,5f2bcad7ba0be61b0c1e9a96
71,5f2bca21ba0be61b0c1cbd9d
72,5f2bca2aba0be61b0c1cdbbc
73,5f2bcad7ba0be61b0c1e9a4c
74,5f2bcad7ba0be61b0c1e9a98
75,5f2bcad7ba0be61b0c1e9a98
76,5f2bca22ba0be61b0c1cc0e0
77,5f2bca22ba0be61b0c1cc0e0
78,5f2bca22ba0be61b0c1cc0e0
79,5f2bca22ba0be61b0c1cc0e0
80,5f2bca22ba0be61b0c1cc0e0
81,5f2bca22ba0be61b0c1cc0e0
82,5f2bca22ba0be61b0c1cc0e0
83,5f2bca22ba0be61b0c1cc0e0
84,5f2bca22ba0be61b0c1cc0e0
85,5f2bca22ba0be61b0c1cc0e0
86,5f2bca22ba0be61b0c1cc0e0
87,5f2bca22ba0be61b0c1cc0e0
88,5f2bca22ba0be61b0c1cc0e0
89,5f2bca22ba0be61b0c1cc0e0
90,5f2bca22ba0be61b0c1cc0e0
91,5f2bca22ba0be61b0c1cc0e0
92,5f2bca22ba0be61b0c1cc0e0
93,5f2bca22ba0be61b0c1cc0e0
94,5f2bca22ba0be61b0c1cc0e0
95,5f2bca22ba0be61b0c1cc0e0
96,5f2bca22ba0be61b0c1cc0e0
97,5f2bca22ba0be61b0c1cc0e0
98,5f2bca22ba0be61b0c1cc0e0
99,5f2bca22ba0be61b0c1cc0e0
100,5f2bca22ba0be61b0c1cc0e0
101,5f2bca22ba0be61b0c1cc0e0
102,5f2bca22ba0be61b0c1cc0e0
103,5f2bca22ba0be61b0c1cc0e0
104,5f2bca22ba0be61b0c1cc0e0
105,5f2bca22ba0be61b0c1cc0e0
106,5f2bca22ba0be61b0c1cc0e0
107,5f2bca29ba0be61b0c1cd65b
108,5f2bca28ba0be61b0c1cd4fb
109,5f2bca79ba0be61b0c1dc290
110,5f2bca79ba0be61b0c1dc290
111,5f2bca4bba0be61b0c1d43d0
112,5f2bca6bba0be61b0c1d9bc6
113,5f2bcad7ba0be61b0c1e9b3c
114,5f2bcad7ba0be61b0c1e9a0a
115,5f2bcad7ba0be61b0c1e9a0a
116,5f2bca47ba0be61b0c1d39d9
117,5f2bca47ba0be61b0c1d39d9
118,5f2bca25ba0be61b0c1cc962
119,5f2bca25ba0be61b0c1cc962
120,5f2bca37ba0be61b0c1d06ea
121,5f2bca37ba0be61b0c1d06ea
122,5f2bca37ba0be61b0c1d06ea
123,5f2bca37ba0be61b0c1d06ea
124,5f2bca37ba0be61b0c1d06ea
125,5f2bca37ba0be61b0c1d06ea
126,5f2bca37ba0be61b0c1d06ea
127,5f2bca37ba0be61b0c1d06ea
128,5f2bca37ba0be61b0c1d06ea
129,5f2bca25ba0be61b0c1cc962
130,5f2bca61ba0be61b0c1d7c87
131,5f2bca61ba0be61b0c1d7c87
132,5f2bca22ba0be61b0c1cc10f
133,5f2bcad7ba0be61b0c1e99d5
134,5f2bcac5ba0be61b0c1e61fe
135,5f2bcad7ba0be61b0c1e9b40
136,5f2bcac7ba0be61b0c1e6a7c
137,5f2bca46ba0be61b0c1d39c9
138,5f2bca46ba0be61b0c1d39c9
139,5f2bca46ba0be61b0c1d39c9
140,5f2bca46ba0be61b0c1d39c9
141,5f2bca46ba0be61b0c1d39c9
